date,group,location,latitude,longitude,elevation,predicate,sunset_status,moonset_status,sunset_jd,relevant_conjunction_jd,moonset_jd,sun_center_geometric_altitude,moon_center_geometric_altitude,moon_upper_limb_apparent_altitude,geocentric_elongation,topocentric_elongation,signed_moon_age_hours,lag_minutes,local_decision,yallop_model_q,yallop_model_zone,odeh_model_v,odeh_model_zone
2020-05-22,SOUTHEAST_ASIA,Jakarta,-6.2088,106.8456,8.0,MABIMS_1992,OK,NEVER_RISES,2458991.946915632,2458992.226702789,nan,-0.833400,-3.931722,-3.115016,4.184613,4.726059,-6.714892,nan,0,nan,UNAVAILABLE,nan,UNAVAILABLE
2020-05-22,SOUTHEAST_ASIA,Jakarta,-6.2088,106.8456,8.0,MABIMS_2021,OK,NEVER_RISES,2458991.946915632,2458992.226702789,nan,-0.833400,-3.931722,-3.115016,4.184613,4.726059,-6.714892,nan,0,nan,UNAVAILABLE,nan,UNAVAILABLE
2020-05-22,SOUTHEAST_ASIA,Kuala Lumpur,3.1390,101.6869,66.0,MABIMS_1992,OK,NEVER_RISES,2458991.970985373,2458992.226702789,nan,-0.833400,-4.251025,-3.434277,3.965675,4.597442,-6.137218,nan,0,nan,UNAVAILABLE,nan,UNAVAILABLE
2020-05-22,SOUTHEAST_ASIA,Kuala Lumpur,3.1390,101.6869,66.0,MABIMS_2021,OK,NEVER_RISES,2458991.970985373,2458992.226702789,nan,-0.833400,-4.251025,-3.434277,3.965675,4.597442,-6.137218,nan,0,nan,UNAVAILABLE,nan,UNAVAILABLE
2020-05-22,SOUTHEAST_ASIA,Singapore,1.3521,103.8198,15.0,MABIMS_1992,OK,NEVER_RISES,2458991.963194991,2458992.226702789,nan,-0.833400,-4.232628,-3.415893,4.035815,4.654397,-6.324187,nan,0,nan,UNAVAILABLE,nan,UNAVAILABLE
2020-05-22,SOUTHEAST_ASIA,Singapore,1.3521,103.8198,15.0,MABIMS_2021,OK,NEVER_RISES,2458991.963194991,2458992.226702789,nan,-0.833400,-4.232628,-3.415893,4.035815,4.654397,-6.324187,nan,0,nan,UNAVAILABLE,nan,UNAVAILABLE
2020-05-22,SOUTHEAST_ASIA,Bandar Seri Begawan,4.9031,114.9398,9.0,MABIMS_1992,OK,NEVER_SETS,2458991.936018553,2458992.226702789,nan,-0.833400,-4.739670,-3.922983,4.285772,4.966507,-6.976422,nan,0,nan,UNAVAILABLE,nan,UNAVAILABLE
2020-05-22,SOUTHEAST_ASIA,Bandar Seri Begawan,4.9031,114.9398,9.0,MABIMS_2021,OK,NEVER_SETS,2458991.936018553,2458992.226702789,nan,-0.833400,-4.739670,-3.922983,4.285772,4.966507,-6.976422,nan,0,nan,UNAVAILABLE,nan,UNAVAILABLE
2020-05-22,SOUTHEAST_ASIA,Yogyakarta,-7.7956,110.3695,113.0,WUJUDUL_HILAL_LOCAL,OK,NEVER_RISES,2458991.935460304,2458992.226702789,nan,-0.833400,-3.943276,-3.126589,4.290985,4.822585,-6.989820,nan,0,nan,UNAVAILABLE,nan,UNAVAILABLE
2020-05-22,SOUTHEAST_ASIA,Makassar,-5.1477,119.4327,8.0,WUJUDUL_HILAL_LOCAL,OK,NEVER_RISES,2458991.913061121,2458992.226702789,nan,-0.833400,-4.357857,-3.541210,4.502541,5.086483,-7.527400,nan,0,nan,UNAVAILABLE,nan,UNAVAILABLE
2020-05-22,SOUTHEAST_ASIA,Jayapura,-2.5916,140.6690,20.0,WUJUDUL_HILAL_LOCAL,OK,NEVER_RISES,2458991.856731432,2458992.226702789,nan,-0.833400,-5.131821,-4.315271,5.051766,5.702947,-8.879313,nan,0,nan,UNAVAILABLE,nan,UNAVAILABLE
2020-05-22,WEST_ASIA,Mecca,21.4225,39.8262,240.0,CONJUNCTION_AND_MOONSET,OK,NEVER_SETS,2458992.163284039,2458992.226702789,nan,-0.833400,-2.969984,-2.152899,2.615059,3.148752,-1.522050,nan,0,nan,UNAVAILABLE,nan,UNAVAILABLE
